Species	Database	Genes	Transcripts	Proteins
Lycoris_incarnata	Any_protein_DB	25664	49182	55605
Lycoris_longituba	EggNOG	76674	137965	137965
Lycoris_longituba	Pfam	80862	141150	1060799
Lycoris_longituba	Uniprot	61283	111763	1060799
Lycoris_longituba	Infernal	2129	3857	NA
Lycoris_longituba	Any_protein_DB	89439	156398	183050
Lycoris_radiata	EggNOG	39288	78081	78081
Lycoris_radiata	Pfam	40896	78240	598934
Lycoris_radiata	Uniprot	31759	63852	598934
Lycoris_radiata	Infernal	794	1307	NA
Lycoris_radiata	Any_protein_DB	44931	86362	100651
Lycoris_sprengeri	EggNOG	43148	88478	88478
Lycoris_sprengeri	Pfam	44976	88916	717080
Lycoris_sprengeri	Uniprot	35052	72700	717080
Lycoris_sprengeri	Infernal	1034	1910	NA
Lycoris_sprengeri	Any_protein_DB	49368	97825	115025
Narcissus_aff_pseudonarcissus	EggNOG	1	36267	36267
Narcissus_aff_pseudonarcissus	Pfam	1	34202	296631
Narcissus_aff_pseudonarcissus	Uniprot	1	31422	296631
Narcissus_aff_pseudonarcissus	Infernal	1	372	NA
Narcissus_aff_pseudonarcissus	Any_protein_DB	1	37307	43625
Narcissus_papyraceus	EggNOG	22099	43436	43436
Narcissus_papyraceus	Pfam	22534	42196	372738
Narcissus_papyraceus	Uniprot	19124	36782	372738
Narcissus_papyraceus	Infernal	341	536	NA
Narcissus_papyraceus	Any_protein_DB	23500	45780	53955
Narcissus_pseudonarcissus	EggNOG	36108	77168	77168
Narcissus_pseudonarcissus	Pfam	38416	78642	615681
Narcissus_pseudonarcissus	Uniprot	28784	62275	615681
Narcissus_pseudonarcissus	Infernal	858	1561	NA
Narcissus_pseudonarcissus	Any_protein_DB	41767	86308	100376
Narcissus_sp	EggNOG	1	70745	70745
Narcissus_sp	Pfam	1	69795	707940
Narcissus_sp	Uniprot	1	63023	707940
Narcissus_sp	Infernal	1	444	NA
Narcissus_sp	Any_protein_DB	1	72934	92788
Narcissus_tazetta	EggNOG	120151	169639	169639
Narcissus_tazetta	Pfam	121909	171156	1173754
Narcissus_tazetta	Uniprot	95429	134201	1173754
Narcissus_tazetta	Infernal	2775	4036	NA
Narcissus_tazetta	Any_protein_DB	135689	190864	215466
Narcissus_viridiflorus	EggNOG	27503	27503	27503
Narcissus_viridiflorus	Pfam	26188	26188	218391
Narcissus_viridiflorus	Uniprot	23162	23162	218391
Narcissus_viridiflorus	Infernal	214	214	NA
Narcissus_viridiflorus	Any_protein_DB	28886	28886	33080
Phycella_aff_cyrtanthoides	EggNOG	24097	24097	24097
Phycella_aff_cyrtanthoides	Pfam	22186	22186	187182
Phycella_aff_cyrtanthoides	Uniprot	20143	20143	187182
Phycella_aff_cyrtanthoides	Infernal	188	188	NA
Phycella_aff_cyrtanthoides	Any_protein_DB	24908	24908	27789
Rhodophiala_pratensis	EggNOG	23464	23464	23464
Rhodophiala_pratensis	Pfam	21606	21606	165645
Rhodophiala_pratensis	Uniprot	19399	19399	165645
Rhodophiala_pratensis	Infernal	161	161	NA
Rhodophiala_pratensis	Any_protein_DB	24528	24528	27705
Scadoxus_multiflorus	EggNOG	39722	68778	68778
Scadoxus_multiflorus	Pfam	38813	64993	517132
Scadoxus_multiflorus	Uniprot	33047	56533	517132
Scadoxus_multiflorus	Infernal	343	499	NA
Scadoxus_multiflorus	Any_protein_DB	42337	72415	81827
Traubia_modesta	EggNOG	14492	14492	14492
Traubia_modesta	Pfam	13080	13080	71059
Traubia_modesta	Uniprot	12029	12029	71059
Traubia_modesta	Infernal	177	177	NA
Traubia_modesta	Any_protein_DB	15073	15073	16389
Zephyranthes_candida	EggNOG	58876	106122	106122
Zephyranthes_candida	Pfam	62905	109439	756200
Zephyranthes_candida	Uniprot	44730	82792	756200
Zephyranthes_candida	Infernal	720	1250	NA
Zephyranthes_candida	Any_protein_DB	68644	119994	139394
Zephyranthes_carinata	EggNOG	55683	98453	98453
Zephyranthes_carinata	Pfam	54353	92275	644598
Zephyranthes_carinata	Uniprot	46068	80737	644598
Zephyranthes_carinata	Infernal	366	474	NA
Zephyranthes_carinata	Any_protein_DB	60026	104242	114284
Zephyranthes_treatiae	EggNOG	21617	21617	21617
Zephyranthes_treatiae	Pfam	19224	19224	106550
Zephyranthes_treatiae	Uniprot	17693	17693	106550
Zephyranthes_treatiae	Infernal	103	103	NA
Zephyranthes_treatiae	Any_protein_DB	22713	22713	24750
